Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
Ndufb2	1799.58985	1949.505225	1795.670925	1774.682175	2011.292975	2332.584	2060.281625	2334.244	965.807725	1940.4659375	1821.341775	1718.31095	1302.32735	1670.67305	1772.034975	2029.679825
Bax	5550.84	4289.34	4585.29	4718.5	4863.66	4045.99	3836.37	4322.65	3473.09	4653.72	4189.0	4378.59	3377.63	4642.24	4410.2	4853.45
Mut	796.034625	800.8354	843.415425	799.306925	729.75398	765.089225	746.461825	758.93865	541.292725	565.2473675	559.048175	621.4174	438.88535	438.3280875	429.466025	485.44184
Oas1d 	23.2159	3.82863	7.79461	1.29739	10.5192	0.732364	14.8323	9.05909	5.98674	1.41249	6.09026	2.9931	28.6435	1.46392	1.80693	25.9496
Cisd1	1092.284	1233.4165	1006.154	1213.4775	1103.949	1285.8275	1171.465	1179.698	963.408	1373.7365	1279.337	1309.444	935.29575	1267.04	1357.918	1438.2935
Lime1 	131.634	173.4105	159.068	182.145	145.089	136.7096	130.6525	194.56	126.1785	133.06685	137.7635	142.5185	97.59605	81.11705	167.448	118.5385
Adam8	13415.2	12322.3	12013.3	10960.6	4316.89	5106.06	4103.75	3752.95	15933.3	14685.9	13008.9	12655.1	18949.2	16288.9	15134.4	15131.7
Mrpl51	1004.7187	1225.66	1120.00435	1195.3644	1438.0578	1600.11605	1623.09965	1547.3674	920.82485	1200.6356	1177.80665	1241.30565	889.403	1447.8969	1605.83565	1501.5022
Mcl1	14056.9340625	15057.6834375	16367.28625	16996.0865625	17100.491875	15549.8003125	16576.696875	16277.836875	15689.890625	19227.784375	20938.028125	19731.984375	16686.2375	21806.11875	22122.959375	18967.459375
Fadd	360.0075	316.584	284.808	390.131	219.0768	236.488	297.9285	297.663	329.0325	355.627	378.534	352.232	267.25015	356.116	331.924	336.739
Irf3	378.049125	334.84275	316.61835	341.6598	342.955125	324.0073	292.6943	327.541625	351.274	358.7806	356.0846	330.769475	326.01435	250.3804	267.084675	258.262
Cox5b	9962.3013575	9059.632465	8902.30245125	9521.97105625	11794.6331813	11979.0158688	11510.7270262	11592.6746725	11102.658425	11543.5930625	11898.7980438	11654.7610875	11952.2581425	10609.3508362	10067.756015	9471.12831625
Dnajc15	2850.24	2563.0	2941.78	2862.67	2738.17	2772.78	2747.99	2490.12	2749.03	2688.81	3048.76	3039.19	2161.63	1990.38	2533.8	2484.83
Msh6	618.721	605.958	600.152	563.937	527.891	511.981	540.327	554.294	433.783	370.908	331.268	353.473	311.525	263.306	242.253	283.033
Bnip3l 	2586.565	4593.565	4325.475	4596.915	2036.831	1884.9225	1984.2425	2157.055	1780.683	3280.8225	2858.375	2895.6475	1783.8775	3347.2025	3630.755	4082.65
Ppif	189.9305	200.90815	191.138	191.821	201.9085	201.064	220.5965	194.043	262.067	253.999	232.079	262.534	196.2645	195.5135	210.506	222.5735
Erap1	657.175	641.036	651.591	653.0585	1686.515	1677.7335	1547.1075	1633.0	1395.814	1414.717	1398.7305	1561.5915	1757.235	2019.745	1995.255	2091.01
Mrpl23	2914.93	2455.2	2446.72	2595.83	2688.95	2476.22	2423.55	2390.71	1246.87	1854.08	1737.02	1811.44	968.961	986.177	1033.49	1026.56
Ctgf	45.3193	4807.38	1582.52	1669.49	27.6697	2154.04	627.471	665.302	57.7842	3050.25	771.083	754.853	7.48789	2020.09	575.187	518.299
Slc25a10	1463.763	574.8625	535.19	611.21	878.575	521.572	479.8375	642.304	1164.819	605.9135	843.9325	685.123	1023.962	422.6865	524.313	350.138
Cox7a2	12348.39	10888.095	10810.235	10512.89	15671.05	15873.55	15050.1	14878.7	13147.45	14613.35	14347.65	14032.9	15574.65	18208.35	17703.65	18953.6
Fcgrt	2650.94	3001.84	4193.28	4301.65	4540.88	4122.32	5303.28	5320.65	668.782	677.067	845.347	673.379	514.626	394.808	441.952	367.862
Mrps18a	2373.51	2103.17	2034.86	1984.44	2294.0	2220.86	2071.32	2022.46	2216.01	2562.64	2487.94	2318.89	2111.47	2058.85	2075.63	2139.43
Msh2	226.65025	329.24165	346.23515	306.75484	228.0712	304.892315	293.76415	272.81578	94.79085	120.70352	132.6097	132.3159	56.570455	94.89445	83.35483	82.40931
Mto1	342.28305	400.3532	388.1856	393.81915	410.5855	415.25805	406.75985	375.9821	280.75225	401.6356	351.44865	363.9875	196.2907	277.10425	308.64925	315.56535
Crat	210.7135	272.637	341.39	406.58405	256.9318	314.4782	380.38295	329.54955	268.21775	238.7649	296.79565	292.00345	257.02995	285.27915	287.9943	315.3288
C1ra	137.035	151.412	63.2715	76.0199	399.626	591.317	538.551	380.057	287.944	925.154	1067.8	1118.56	286.978	1060.01	948.799	927.138
H2-Eb1	2096.97	2739.15	3935.63	3517.64	28523.5	29503.2	28001.3	31808.9	373.279	1786.75	1582.81	1784.18	1154.45	12588.9	14087.2	15326.0
Sac3d1	85.28177	111.50475	93.1468125	115.25073	107.694065	122.674235	108.6847825	115.0188975	88.23807	105.8343825	110.53458	91.86377	80.973035	102.111285	109.0732325	113.54314
Bok	52.0945	200.977	172.773	158.614	113.784	160.158	68.9021	130.061	22.9822	147.997	136.99	51.6113	92.8232	154.014	60.5131	99.5459
Bid	520.70825	470.17275	473.277	391.0115	1149.34975	985.81425	1044.74175	917.54425	979.3705	586.93875	584.50075	554.943	1115.893	1439.36625	1393.135	1291.731
1700071K01Rik 	1564.1655	1563.43	1484.805	1497.75	1409.716	1340.4095	1248.652	1407.2885	850.0945	1482.092	1294.019	1598.682	692.5245	1088.5885	1145.1565	1170.4355
Lamp3 	1322.28	1388.4	1368.68	1311.0	1053.68	1359.23	1019.73	885.225	405.613	1036.08	816.074	988.241	290.566	567.985	671.936	624.539
C1qb	27036.95	25635.2	26658.75	27557.95	30196.675	29406.725	29662.8	31494.1	26786.725	20546.0	25007.125	22944.175	31051.825	24157.5	25702.5	22826.75
Ecsit	206.712	268.103	212.994	282.248	211.585	251.168	212.579	198.493	333.457	437.813	363.518	360.687	274.113	304.318	331.056	295.568
Ckmt1	14.78988	10.98575	17.73365	11.044745	11.696315	20.97175	14.876265	24.461955	12.672195	14.982665	20.53875	16.974575	31.27565	12.36246	22.6858	22.74865
Ndufb5	4811.445	5326.52	5353.36	5890.345	7736.3	8081.6	7839.515	7293.395	3720.32	5204.64	4678.345	5482.425	3543.98	4803.265	5372.125	4966.83
Tinagl1	11.6142	53.0333	7.40762	16.15	3.98027	63.7731	12.268	24.8851	22.0479	4.03579	21.7752	31.258	9.53376	19.5428	7.93836	33.0131
Arl2bp	853.725	864.5215	807.8955	733.2245	735.752	669.1085	762.628	780.8015	504.862	532.626	491.5695	502.6275	482.54	600.379	622.733	636.171
Map3k12	162.4142	247.42825	303.62475	280.26375	238.9478	272.586	327.92515	286.5785	195.90525	181.21135	177.11945	190.29735	216.58975	158.89755	184.869	173.68075
Pdgfrb	7.02952	199.40605	52.127995	67.049405	10.205635	65.48235	22.00005	23.7968	16.0456	167.16825	44.45095	57.42292	8.023323	34.451545	18.82712	22.36395
Slc25a14	151.067	217.685	245.633	171.886	196.971	245.086	256.673	234.128	266.265	250.352	293.777	222.335	244.655	325.917	393.288	290.896
Mycn	10.877875	8.2037075	7.152805	29.39649	16.6459975	18.433695	9.3942775	48.80265	9.8936775	18.72741	16.67344	11.8710425	15.1196925	17.6608425	11.806	43.95571
