Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
1110058L19Rik	1962.54	2292.5	2586.51	2552.88	2200.36	2221.38	2262.46	2440.22	966.698	1218.92	1163.17	1145.26	647.674	540.976	787.124	828.653
Chkb 	46.8711	17.9224	46.3048	22.6961	42.774	47.8509	51.7609	44.3718	42.1194	45.7777	21.778	32.5705	21.2656	76.9294	45.8051	43.1903
Afg3l1	625.653	471.573	482.631	416.1635	424.1755	431.241	388.317	345.8585	370.8555	503.5	511.6335	414.4308	315.56215	435.6425	475.166	493.4885
Fcer1g	32484.1	25086.7	28373.5	29294.8	35303.1	29331.3	31105.0	31727.8	36888.2	34962.0	38420.0	36974.7	41813.8	35284.2	35475.6	36354.6
Tnfsf12 	1034.706	2282.28	2115.23	2516.93	914.348	1113.303	1112.9305	1426.13	392.568	577.543	579.7255	628.775	385.0215	571.7985	487.504	582.4065
Mpst	307.883	306.32	450.695	429.852	299.107	321.945	400.327	298.58	384.372	272.159	203.306	254.591	361.959	216.68	313.392	342.201
Smcp	28.34	5.17041	32.8143	8.36896	31.0388	1.99855	21.2491	42.1336	53.8677	17.2418	8.6958	8.15831	52.7594	6.82399	3.42824	27.6227
Ctsh	11695.17	8844.155	9736.265	9902.27	19721.7	18600.85	18744.75	20500.95	11882.16	11019.41	12620.38	11689.665	24731.25	26214.3	24764.35	27328.55
Siva1	643.1065	827.438	893.531875	861.52825	753.868	843.307125	891.607625	938.311875	442.227	1109.869625	850.227875	865.26075	361.01675	1062.384	958.39725	1136.8735
Apool	177.7188	141.180875	163.01255	181.78185	302.448355	237.10335	259.4662	242.90875	391.528825	277.566225	316.780425	306.8264	530.847225	509.90745	452.96715	447.41695
Kif5b	1107.9688	1044.32385	926.022325	836.54195	750.859	782.4412375	745.744525	689.0799125	1096.467275	966.7314125	1006.270075	963.2325625	984.636025	976.2741875	933.885675	1033.2906375
Mrpl42	1671.05165	1577.60468	1473.54245	1511.83015	2027.11049	2028.34855	1938.06605	1852.25135	1050.05815	1726.839965	1593.93025	1531.6223	946.24235	1119.2045	1273.2742	1397.4383
Cxcl14	135.5605	240.015	223.7295	214.8275	83.1528	84.074	82.55825	96.4461	52.73035	107.8139	73.77135	78.8137	34.9638	74.5075	27.42265	60.2165
Ppbp	84.1534	82.849	92.7435	77.2523	16.2602	55.0618	36.2969	54.0145	50.7616	397.399	224.595	166.26	36.8875	76.2777	34.0516	50.9001
Vnn1	9.74522	13.01585	8.4843755	23.296975	4.610615	6.34492	16.377045	10.798085	16.88895	9.96201	1.729038	4.25463	16.08175	18.040456	14.77765	8.269645
Snca	5.1850925	9.129235	3.6331475	4.9361625	12.322406	10.0961575	8.1455825	16.897625	3.9696625	12.4881775	7.499345	2.85961	8.4916725	8.3834475	8.3931375	6.734025
Hspa9	598.15325	532.284375	522.599185	485.713875	557.24384	509.5770875	481.1883175	420.014565	617.36375	821.00074	686.57645	704.588425	473.5180125	700.722175	697.61462	611.732205
Prdx2	5251.04	5000.925	4785.33	4750.58	5914.56	5560.425	6073.6	5921.225	6090.725	6642.66	7223.98	7604.45	5789.06	7388.47	7486.245	8363.985
Grb2	5070.26	4780.815	4945.75	4834.56	4394.625	4742.475	4647.825	4432.195	6376.975	4105.27	4955.92	4415.68	7786.905	5794.555	5879.295	4837.575
Cbr2	391.676	233.683	265.375	185.476	23.5616	5.09874	35.9166	28.3393	296.394	440.439	585.335	411.822	92.331	93.1885	45.736	41.43
Mtx1	2459.445	2283.295	2073.2	2260.23	2346.615	2454.595	2234.97	2617.13	1945.99	2374.365	2175.06	2222.625	1593.9765	1817.69	1894.62	1934.065
H2-Q7 	2664.54	415.03	343.257	280.502	10071.3	5845.09	4426.77	3579.75	28224.1	19893.8	21930.4	21848.5	26835.7	19949.1	21316.9	18507.5
Wasf1	29.7308	39.2269	15.5601	36.3238	18.0057	19.8756	23.6043	24.0785	10.6071	12.9913	14.1608	2.17691	19.1738	24.1604	3.58619	9.96653
Pdha1	1306.7145	1330.2875	1267.32	1418.861	1747.383	1654.1155	1635.859	1804.701	1204.418	1324.3575	1086.904	1098.271	1039.741	1089.2825	982.0665	968.8745
Trim8	276.839675	245.42395	266.45395	227.20645	233.20245	220.3077	194.478825	213.831725	287.614825	223.83325	236.3862	209.270725	235.3075	193.3006	219.80445	205.507425
Traf3	736.956	456.674	424.93485	471.89405	465.33365	442.3906	339.7072	384.065	884.644	980.712	784.4	832.7065	790.432	1066.484	1112.746	1188.283
Il1f6	19.2795	21.0474	37.2191	49.5958	55.1843	41.5323	20.6509	39.1922	97.8217	168.893	49.4252	140.483	147.699	219.053	108.983	175.589
Clu	41.079175	49.4052625	30.96599125	30.8770575	34.60047225	46.705275	39.108025	48.18444625	63.6849625	58.9939925	49.245015	58.560745	70.0155425	49.586877	39.9543	46.54244875
Gclm	8662.065	2284.3565	1779.297	2313.3115	3353.678	887.034	785.538	958.1875	3359.962	3639.854	3588.877	4139.9105	4294.155	10158.815	10194.57	11070.61
Notch1	632.1615	671.6665	755.183	739.0475	609.9245	622.45	589.464	668.542	786.6965	1231.6625	949.6055	1052.096	519.056	701.0615	571.6565	739.3665
H2-DMb1 	471.7715	653.397	769.3745	712.8605	6254.36	7250.54	7665.405	7875.045	312.965	648.071	706.558	736.261	392.023	2274.9	2570.005	2818.135
Sirt1	891.179	1173.17	1376.85	1215.0	1106.3	1260.71	1331.93	1187.97	1023.59	924.81	852.881	936.138	1066.95	1053.59	967.556	998.292
Cxcl9	3.11613	4.21616	15.6818	10.949915	8474.787	14266.605	15100.975	15331.18	906.5955	2545.639	3257.349	2323.39185	14349.4605	18173.15	17370.685	19368.815
Acsm1	1.69266	8.56816	0.916882	4.15395	2.82561	8.67979	11.0721	3.01204	17.7515	0.892858	20.304	16.5207	16.9956	1.29887	12.4377	2.54148
Tirap	951.465	781.6215	780.12	723.4275	764.122	709.3355	757.811	884.585	1163.838	934.1065	847.534	969.904	962.967	1318.761	1164.9105	1265.4155
Oas1c	155.367	129.973	121.711	144.126	138.614	150.517	125.696	142.474	448.556	263.575	323.194	283.147	342.103	164.365	161.315	168.565
Fech	980.401395	1112.3717725	1163.1066975	1275.7739	892.81684	979.7472375	1022.18045	1031.102745	671.0138	780.997025	704.40925	752.637625	536.79209	685.98675	699.893725	700.688575
Cox7a1	137.961	134.422	158.31	174.978	116.781	85.43	78.0941	100.658	69.0543	87.6016	75.0956	130.472	78.4994	98.3686	60.2121	83.777
Mrps25	651.267275	590.722775	596.267475	612.8173	653.99745	674.952375	682.6355	617.726025	558.32755	750.37535	704.3549	716.289775	458.12545	512.340575	556.8908	596.110225
Cfi	27.1974	11.6267	51.7243	43.943	19.8902	15.6632	42.2637	37.3846	29.5962	24.909	23.2126	27.3235	43.8625	27.3008	28.1729	8.40514
Star	27.885205	38.180625	20.441915	37.95172	24.216395	30.210175	30.106005	26.45212	40.92711	28.6786	37.470475	34.087015	48.89301	51.899875	42.93207	45.231865
H2-Q2	0.467798	12.877	0.454181	0.531951	1.46512	0.942934	1.28462	1.46425	2.80612	1.58546	1.19765	0.755786	10.3641	17.0267	0.625143	2.87861
Sit1	34.584	16.4492	23.7398	25.8248	25.7531	39.1611	32.2267	23.2985	11.4091	15.5809	15.2523	29.1182	18.76	35.6064	16.8441	7.76084
Cd55	315.79975	13.1448425	10.346175	11.1590225	34.675225	15.733025	5.9430865	3.57063	599.37575	11.4240425	23.949025	12.76318	337.62075	10.100365	8.13248	15.958225
Opa1	805.906	836.76875	854.83125	776.887275	809.70375	806.77825	883.96725	842.2865	531.8905	592.287825	582.75475	675.1705	535.75925	615.012	677.85975	693.96125
Ccl25	90.8274	60.63125	84.02735	102.7116	64.5933	55.4771	77.21725	79.06875	80.51295	108.8827	111.7126	139.80215	82.1312	164.2735	122.718	186.1625
Ccdc109b	2109.85	2103.75	2051.84	2009.55	3004.9	3205.18	3098.8	3195.65	3224.41	2470.93	1966.73	1831.69	5975.82	5418.25	5446.21	5371.51
Mbl2	28.5781	2.20697	3.73471	14.6547	0.934797	12.4144	2.21078	16.3209	2.97007	22.4354	4.99614	3.29524	3.90606	5.36798	20.9963	31.4505
Cds2	871.868546875	815.72296875	757.573828125	809.313278125	610.7370625	582.893296875	524.11460625	582.22991875	1063.4871875	870.512758437	822.54255	821.315421875	958.778375	1380.2055	1309.06982187	1365.4236875
Bhlha15	10.4506	21.06543	31.70645	13.764955	3.17234	13.62121	15.4019	12.405935	16.870395	14.84385	32.31785	44.83925	23.05805	20.54778	21.80707	33.06825
Fasl	15.321875	7.70922	17.252975	2.81888	20.20809	17.448068	23.2101	18.655095	5.821525	14.35599	3.909775	8.59176	17.44565	15.86744	10.822685	22.5809
Pira1 	1261.107	1094.829	1236.563	1292.504	1182.2565	691.7615	1051.5095	953.362	3347.684	1292.465	1319.9365	1321.515	3228.7005	1547.603	1714.029	1358.189
Ndufa12	5555.8059375	4958.014475	4848.63945	4779.898835	7075.752825	7273.5243	6130.613	5849.5937625	3530.8232	5491.14175	4863.8276125	5316.210825	3436.8632675	4230.93045	4510.4100625	4739.67435
Irgm1	2363.09	1551.55	1604.63	1477.5	17569.7	17370.6	17060.7	18200.4	13996.7	9492.76	12012.4	10992.9	20435.9	18666.1	18675.8	17610.0
Cd79a	5.19426	27.5999	2.31964	8.35681	4.41951	4.31288	3.43365	2.03774	3.19771	1.88014	2.32743	1.8383	5.33434	6.2228	2.39522	4.21069
Agxt	33.6186	27.4551	13.9054	23.2444	39.3229	26.6969	12.7646	52.8052	10.8156	38.0033	14.7976	32.2232	10.5277	19.2456	49.499	38.9006
Birc2	1085.36	962.582	890.795	949.247	1891.64	1614.57	1694.38	1626.98	1417.82	1139.98	1221.59	1104.44	1617.74	1811.05	1859.25	1635.23
Letmd1	335.1227125	426.7672975	483.098000625	463.92756875	340.71559375	406.82078125	412.508333375	467.12923875	196.1535825	220.243447375	214.498385	270.92325125	161.23969125	223.76653125	247.721775	217.687225
Sfxn4	30.4293	53.0159	65.009	69.0421	70.8387	78.1147	34.838	6.47253	26.3832	25.0985	45.7474	31.7734	17.5586	23.4105	6.07815	44.6731
Msrb1	3242.64	4734.32	5175.22	5703.09	3686.83	4756.96	4635.49	5547.52	6113.94	6581.56	6964.15	7284.05	5965.8	6358.57	6415.54	5995.3
F2	34.5972	53.0815	62.5263	44.7406	33.641	54.8535	43.4949	69.8187	21.9347	32.3182	32.2358	34.042	70.9587	41.2475	8.70319	42.8863
Chid1	177.8475	257.9915	297.983	295.5365	169.858	357.2005	327.382	351.232	244.684	313.742	273.9715	282.0805	194.268	289.044	301.342	303.295
Acsl4	1530.0875	975.002	1120.2595	1038.127	2001.684	1602.6845	1756.108	1608.5785	2450.8425	1789.816	1986.153	2139.196	2496.48	1662.8935	1961.535	1822.088
Hebp2	59.026075	83.513995	62.792975	77.58875	40.4491175	45.562945	38.3237975	44.7097	17.287375	40.44905	30.4804175	44.998325	37.72551	40.42465	38.888175	29.8717
Cxcl10	227.012	108.943	168.698	130.073	18133.4	10671.0	10879.1	9028.77	25904.2	16209.2	22662.1	19928.8	33724.8	25792.7	26856.2	27474.4
Bcl10	2802.4925	2112.91125	2475.38625	2990.8575	2341.24	1854.875	2042.005	2082.26875	2402.0975	2036.64	2128.54125	2002.9775	2606.8775	2353.94625	2569.51625	2466.16125
Cnp	1260.8775	980.01625	1135.8505	1053.2575	1700.69625	1725.30075	1557.84925	1657.41375	2477.74025	1389.79575	2115.67475	1602.17525	2553.38025	834.394	876.84225	721.03925
Bak1	276.9044	204.6552	268.8421	287.63745	521.1992	535.17745	498.483	473.12645	791.0565	515.64065	589.17445	541.4422	944.555	985.538	977.863	860.159
Kmo	110.978	116.614	128.402	110.764	103.436	130.418	112.813	157.411	58.913	59.0558	32.6467	79.3573	90.2127	66.8125	41.3856	80.5221
Bcl2a1a 	4132.79865	3546.72183	3508.35455	3498.192045	2649.0778	2218.621575	1934.267945	1817.903675	4013.642975	4321.42495	3988.16088	4467.583915	4306.4334	3493.107481	3149.230905	3313.530945
Zp3	3.09699	10.9023	30.0489	18.2343	21.5624	23.6687	17.6045	21.1805	39.0418	28.0568	28.9298	31.3346	21.3544	42.2111	26.6472	17.5554
Iigp1	310.1685	122.8629	95.13365	86.5313	28450.2	28752.8	28417.55	31019.3	11656.2	5679.785	8684.54	5838.635	29750.65	32493.0	31820.5	32258.25
Slc25a23	80.6531	109.7	112.226	115.113	90.2849	95.2699	113.61	74.6374	24.6822	27.7729	24.2385	26.4598	20.8099	28.8224	4.73871	45.5947
Tnfsf11	2.298175	9.5027	2.268775	14.974575	3.847075	3.510645	3.3329195	13.90581	12.919125	5.55198	10.19716	5.451535	2.06587	3.10822	2.0453	5.23827
Sin3a	478.828	458.2985	471.9125	454.1955	466.05675	477.34225	508.7585	536.98575	351.64875	397.61	410.731	411.51375	324.748	363.29675	353.09975	379.664
Mfsd6	1475.66775	1356.8225	1524.896	1512.398	820.61575	912.06625	834.023	867.19175	354.325	273.579925	246.57635	308.147075	459.72525	674.81125	711.67025	917.99275
Tlr2	6886.68	2627.24	3273.25	3569.42	3819.44	1452.69	1703.12	1457.49	4323.02	10544.1	9357.11	10547.5	1620.4	1895.82	1638.86	1808.37
Ltb	154.032	62.3845	72.4677	79.6552	133.815	54.922	33.3962	40.5428	78.6305	45.5722	42.8619	41.1694	88.6116	48.8357	92.2294	26.55
Akr1c18	56.5598	24.0234	9.78066	20.7065	6.61792	26.066	12.8019	24.6571	45.9299	6.54494	8.09141	15.6633	14.1989	7.7416	6.87306	19.518
Crygd	2.06791	0.836894	3.83475	1.09398	2.16696	4.61908	1.19032	1.49457	1.37912	5.35585	8.31296	2.52261	2.27526	1.82502	3.29735	4.61069
Hars2	427.079	535.8275	487.478	402.6195	466.8515	439.448	437.492	457.989	314.595	369.9415	378.6305	404.522	300.8205	441.9065	420.3495	388.662
Nox4	9.64871	12.900875	20.11515	12.2835	4.77597	3.885875	7.752775	3.51844	4.05856	12.91107	24.3861	14.4807	3.013245	5.32119	15.8122	3.236625
Ccl27a 	95.1652	147.931	140.9715	149.656	98.31815	144.2715	129.945	126.1935	22.7721	31.47225	66.2519	51.50785	78.62005	48.41595	37.81705	49.3873
Cd37	1785.6995	1733.1465	1789.089	1702.304	1157.6955	960.504	757.3295	836.3655	1364.103	1398.3675	1165.55	1192.0915	1214.956	727.642	774.49	536.933
Map3k8	1356.01	838.797	707.993	846.761	1121.01	868.981	776.362	723.477	1262.99	926.203	1068.77	966.679	1539.45	1153.15	1120.29	1166.4
Cxcl1	1808.22725	245.31125	153.364	164.1075	78.681475	84.941225	63.2160675	88.243975	2232.6125	6818.6975	4203.2675	6939.62	1006.94625	1025.95925	687.16175	1060.2365
Icosl	170.68715	61.4057	85.9339	96.63245	163.271	164.4564	165.4477	160.96675	89.04605	42.19215	62.1336	66.60645	77.55125	79.0974	77.37875	63.8807
Hyal1 	228.5305	475.6265	350.428	455.1845	150.6706	177.7615	175.4038	191.613	367.833	327.773	307.532	351.197	394.5135	708.6565	540.4925	598.806
Tnfrsf11a	510.5115	293.4	331.1695	284.813	372.002	304.6575	315.9145	277.7195	1123.442	369.0075	446.472	394.186	945.242	245.278	350.9245	300.8405
Apoa1	7.78753625	3.291655	3.54373375	5.7374525	6.63954875	5.73404	2.8209575	6.75911375	5.7967925	7.73517	2.65161625	5.33109125	7.76981875	3.814235	8.26066625	10.77142375
Aire	10.708	11.0173	21.1015	6.54603	6.14019	8.2993	6.18923	5.76005	14.0032	45.9826	33.8923	5.76251	8.02239	11.175	5.03514	5.79477
Myd88	4655.43	3478.97	3267.42	3149.33	7060.38	6470.2	6122.01	6165.84	9554.86	8155.25	8564.29	7709.97	10200.6	7332.19	6595.32	6585.09
Enpp1	301.20375	663.2185	752.347	616.709	92.435625	129.9387175	107.97505	107.689575	85.3598075	171.2686	125.948525	93.743	73.67856	73.46693	42.96735	50.550275
Ccl12	243.659	24.362	39.6736	4.11638	1605.93	1053.08	968.242	748.654	24345.9	4256.31	7633.94	3470.74	34212.6	2258.21	2186.0	1815.74
H2-Oa	21.9381	57.0998	18.9319	30.3546	343.931	355.142	556.042	478.084	62.7424	42.9668	87.2044	46.0016	223.751	279.55	416.34	409.692
Tnfrsf13c	3.87584	36.0479	14.2809	7.14045	7.24867	28.9491	18.8189	40.34	5.64887	4.21014	22.4523	28.7085	3.6237	26.993	23.1319	29.7617
Trim10	9.23635	32.6409	41.0853	20.3548	29.5479	26.0999	32.552	41.9824	43.678	21.0377	24.307	19.5129	37.1345	29.2888	18.5355	28.2432
Atp2a1	22.9546	21.1286	13.8869	16.6898	28.4212	53.5688	35.9151	36.8036	24.0526	16.8863	7.19426	17.3854	35.4445	60.1461	48.4936	36.8987
Tinag	17.7482	5.44002	4.81411	2.01609	2.15045	6.08739	3.32555	0.872741	0.713067	6.93146	1.46437	1.53835	3.36091	21.2505	0.993147	14.867
Ctla4	29.0125	6.46636	6.76832	31.1962	41.3576	30.36	31.7072	39.8605	29.4005	32.9852	47.5851	29.6328	52.6281	35.0692	48.2857	56.0167
S100a8	374.722	17914.8	11347.4	9884.94	150.938	15938.9	8160.71	6084.54	12336.5	11768.0	6809.37	6683.68	8461.47	6905.07	3702.89	4905.85
Hc	4.81183	25.2351	22.0024	4.62154	5.65556	13.2492	7.65564	10.2271	5.01741	16.5469	10.6287	31.0659	34.477	14.5327	13.5195	4.82118
Xcl1	5.54494	40.7754	9.74313	2.80364	4.34228	35.9009	4.89751	8.27952	6.40571	5.73453	15.4296	7.0357	9.83099	8.7218	5.93691	24.7806
Ccl17	22.1759	5.80758	3.11334	3.18701	2.4483	9.00642	5.64795	8.57509	10.2045	2.29926	36.6132	40.3849	15.9957	23.9286	5.25336	39.1022
Ccl21a 	1.95474	2.77499	7.40886	2.36358	3.62484	2.61478	7.38495	2.36824	5.02294	2.8189	2.73156	8.00476	2.80523	4.32521	3.25208	4.54478
Csf3	26.482	50.9795	40.6179	27.999	17.7722	15.4264	5.47213	40.3251	228.359	99.035	67.4821	113.435	321.932	109.93	91.0505	97.0224
Ereg	4.41713	12.829	2.18381	29.3731	21.1775	16.4017	2.78856	16.7911	9.62804	29.1767	37.5734	29.3964	42.7002	41.677	10.3266	25.6703
Cck	25.0674	39.1891	26.956	44.0233	2.74103	27.7096	25.9676	33.7398	38.1651	3.72863	26.3363	26.5977	20.3584	21.8201	14.2711	7.6926
Defb1	19.59285	16.1474	7.717285	21.2872	11.511975	17.13773	13.89891	12.189635	25.35005	6.67266	19.22884	45.72855	29.9311	32.5699	11.19482	31.26885
Immp2l	133.893	113.589	93.5494	88.1931	81.2566	73.792	93.1785	91.8302	34.4891	75.0897	62.0925	77.918	55.5364	49.2838	53.689	48.5357
Gpam	318.29578	375.77505	376.84695	384.56575	283.685815	304.5005	272.699695	336.038945	202.4254	317.09185	296.2941	363.146	147.4498	326.2802	316.18765	326.48675
Ripk1	1546.268	1488.44225	1463.21975	1562.4435	1798.75525	1786.24875	1690.64075	1601.55875	1815.27375	1483.8205	1405.479	1323.56625	2328.408	1928.5505	1765.58225	1838.191
Fgr	211.522	130.52475	164.64575	127.53925	150.31325	101.1516	96.299925	99.28385	593.55825	336.96775	372.562	332.68075	431.385	263.0395	260.733	261.97525
Il23a	5.42969	0.998403	1.97863	4.37273	6.33456	6.32868	4.72102	8.37719	3.51552	17.4455	7.85971	32.498	6.29791	7.73533	3.38998	1.48296
Il12b	88.55025	11.352725	21.3962	20.72495	41.3616	48.7832	22.904	20.63535	45.5594	40.77	25.66545	45.3281	56.16115	135.4105	154.552	245.7415
Olr1	27.6556	10.8576	2.12629	27.118	11.6219	26.4387	11.0376	0.510307	565.048	523.036	355.813	674.175	102.498	85.0207	47.6158	79.276
Tra2b	2525.8349	2068.0973	1841.21955	1807.1941	2134.86815	1912.2649	2077.812	1993.4784	2197.71065	2048.0295	2338.437	2041.3621	2218.5361	2333.8138	2179.0991	2380.5597
Fahd1	120.802	189.8	211.713	206.939	133.883	212.688	276.692	222.439	72.9562	135.726	117.861	149.72	36.1713	108.857	126.063	148.529
Arg1	26.0949	55.2266	3.75829	3.33703	24.7758	49.2836	20.3126	29.513	1718.53	19605.1	7235.27	6915.82	1441.39	2346.02	1008.62	1366.33
Ccl3	17649.4	2509.23	2821.67	2674.29	3396.7	962.689	706.996	596.033	26959.7	9125.65	10329.3	10430.5	28289.5	2380.84	2352.82	2280.15
Isg20	429.284	199.678	153.149	167.959	405.868	299.329	232.157	183.853	21117.0	8678.2	12459.4	9821.83	21780.7	3906.33	3794.68	3488.62
Mbl1	40.709	48.815	13.8022	40.7304	50.3666	48.9848	35.9753	15.0165	49.7116	22.4721	71.1988	122.969	105.803	49.0862	35.9936	101.031
Ctsg	29.4702	29.5216	28.0074	37.3725	5.50426	56.0701	37.7149	27.1436	2.12956	2.30098	9.66383	39.1659	7.5771	9.49993	3.15695	10.0148
Eda	18.77684875	6.24537375	15.29923375	4.52896875	14.3688425	23.560031875	14.96075	5.153613125	25.20671125	21.556566875	16.866664375	31.076985	17.523109375	31.9772925	31.15957625	31.7381125
Zbp1	664.015	201.5645	228.0275	220.2615	6696.845	6163.125	5760.14	5611.66	13166.55	8038.92	9142.71	8507.125	14657.7	7249.985	6870.43	6904.165
Tnf	4377.87	281.706	205.221	241.078	2483.77	1017.17	962.816	848.153	5454.82	4148.59	4625.96	4847.61	9124.38	11917.9	12566.8	13577.8
Ccr1	66.25835	380.79125	374.91335	420.88045	153.09995	331.19005	482.5385	507.3891	271.6471	3763.856	2639.689	2736.3955	777.053	4322.647	2770.9915	3219.64
Ugt2b5	19.6421	1.95744	15.3717	1.04338	1.43112	13.7909	1.20913	1.78802	5.37585	1.19934	11.7948	7.93559	0.445068	6.90621	2.67395	0.91305
Hspa1l	6.97202	15.1534	1.99161	3.8578	11.4399	1.88693	1.876	21.2819	29.069	1.39018	1.3628	4.92063	90.8024	69.9627	68.1447	39.552
Clec4n	424.1955	1383.25	1836.955	1909.96	83.6954	141.3395	157.96	165.5675	384.95	8717.9	4947.295	6919.04	1633.86	21530.6	18992.5	20113.2
Trim11	353.313	481.431	593.967	507.821	664.012	787.307	755.081	779.852	356.719	519.294	468.001	510.183	385.026	543.448	540.394	462.836
Was	2589.13	2801.62	2675.4	2897.49	3079.27	3010.97	3017.88	3071.45	2968.34	2766.2	3061.89	2839.08	2991.73	2350.39	2517.65	2281.15
Ier3	2678.91	2461.76	2948.23	3475.27	1175.35	998.202	1331.49	1388.78	10898.8	15785.5	13393.9	14861.8	8852.72	12174.7	11556.3	13284.2
Slc25a36	1285.1035	1254.92725	1211.9075	1252.4165	1211.155	952.36175	1065.2045	1024.01275	702.4269	943.05225	846.429	936.792	552.97	605.3282	757.644	684.16475
C920025E04Rik 	5975.964	5651.2795	5481.742	6784.0495	14772.1	14534.97	13609.0695	15612.769	14737.106	14697.7845	15355.8685	14260.2495	17392.8125	16559.734	15398.701	16529.8105
Mx2	49.9342	8.52971	52.3353	9.70276	213.77	251.748	125.221	136.966	1554.64	666.773	1043.57	889.013	2331.78	974.585	1003.06	1000.33
Masp1	11.686232125	23.38441125	23.601215625	6.5648675	14.88391375	29.67054375	20.5123225	27.39504	14.320745	12.30127375	12.43160875	24.5342325	22.28194375	15.600015	14.97105625	14.1602425
Elac2	177.76825	185.831175	174.32825	201.719875	149.941375	193.49425	175.6805	170.95475	181.70775	189.97675	198.4035	189.32975	159.05925	138.773275	171.8695	168.6027
Ccl8	248.739	387.945	112.499	137.306	8871.88	8669.15	6652.97	5910.48	24648.3	8456.45	8185.56	5965.9	26503.7	9633.41	7461.77	7577.43
Camp	36.0492	1059.53	588.364	475.954	31.0384	687.472	301.494	300.41	98.2627	351.898	279.652	206.684	12.0191	98.7595	37.5771	38.9959
Colec12	244.661	662.679	963.823	818.563	53.7354	77.7584	82.0889	74.4794	91.3377	119.394	182.278	192.699	77.2104	78.2854	83.0583	46.4298
Cd4	54.87095	51.8413	72.83753	53.652325	7.52632	8.29768	10.518735	14.706	39.48655	35.86922	36.248755	42.0301	8.772095	15.2038	13.826595	12.82432
Cxcl11	30.39695	17.7917	20.463395	31.53915	330.91535	247.11735	167.8644	124.5362	7835.7715	1380.18125	2917.937	1843.992	11427.6435	2658.2145	3430.356	2894.1445
Cd7	8.67801	9.43322	6.59158	6.7074	8.312	6.689	7.1632	11.6265	8.00383	9.14086	9.16993	8.97219	6.2464	9.68872	9.34339	11.7318
Cd274	1112.85	1086.33	963.302	1056.18	8089.16	10828.4	8932.45	10154.0	19266.0	14874.6	14787.3	13540.9	29150.7	28872.6	27646.8	28104.7
Daf2	10.4184	1.21499	8.44782	10.2166	1.23488	10.0754	7.56852	0.386458	12.8618	2.74842	3.72134	4.75921	2.10277	14.9522	1.02279	0.373259
Cxcl5	1.74871	40.8972	22.1218	56.6436	5.83825	37.3999	2.37891	11.6079	4.52878	219.375	62.7425	90.1418	27.6699	150.731	84.653	54.1044
H2-DMb2	64.730425	62.75755	112.2934	85.07355	356.091	469.76675	593.02575	653.284	53.3859	110.043125	115.39695	119.14925	120.06925	124.6062	152.17725	173.4545
Coa3	3354.295	3034.3775	3145.895	3152.765	3630.78	3562.9	3268.065	3153.46	3319.5795	3774.395	3703.98	3738.51	3149.456	3228.9615	3347.5015	3617.6725
Tlr7	1166.99425	1310.678	1370.252	1440.62325	1121.52225	650.516	548.461525	473.77175	1703.81875	1214.19875	1431.5915	1438.2075	1120.36225	265.709025	278.831075	279.37955
P2rx7	1030.1110875	1594.4889	1898.007325	1903.385625	1475.82376875	1343.66096875	1530.6528375	1695.59025	594.79989375	857.9136125	850.7962375	825.29285625	425.4508125	454.05408125	371.79458125	449.7004875
Csf1r	18115.06	17577.735	19605.4	20502.475	18726.48	16231.945	16118.13	17805.985	13147.6	18384.4	18947.36	19090.425	11669.0	16699.93	16118.915	17007.805
Trim25	2848.087	3176.394	3278.514	3301.3775	3018.1535	3296.5945	2958.1345	3128.5185	7443.58	6328.2975	6932.9	6566.645	8393.66	8329.605	7853.07	8445.995
Abcb7	1182.792175	1071.02975	1082.81125	1155.041475	973.7855	882.704	937.1505	858.35875	517.8918	609.113475	552.9022	691.925575	338.441825	541.830575	564.118475	499.928175
Map3k7	410.20470625	470.53141875	436.08244375	450.39439375	348.80605	293.7481625	319.4494875	310.0143625	199.81408125	254.51591875	231.261725	221.05948125	123.08681625	187.858625	183.49795	213.6508
Atp5a1	5581.13625	6021.826	5773.671	6221.061	6653.89975	7368.9835	7010.5685	7059.32925	4112.8985	5943.0845	5860.1045	5772.24025	4204.431725	6420.921	6282.159	6171.5485
Golph3	2067.95925	2051.372625	2151.515	2490.88075	1989.485875	2017.170375	2213.785	1975.65125	2578.2265	2125.4325	2194.405125	2389.653125	2521.0875	2275.7165	2611.622	2367.09
Slc8a1	28.7035375	35.2936225	35.4121875	48.88640375	36.7401375	62.8711625	62.56425	65.4404	25.94407	21.66513875	41.8135125	30.3510225	35.0394875	49.1560125	48.9112375	39.4710625
Psen1	939.204271875	885.819181875	860.887845156	851.383521719	1188.85548281	1387.40481094	1243.37681875	1425.50379953	1332.13673438	1401.48913422	1159.13734719	1221.08047437	1589.05753672	1593.54151109	1548.21944781	1519.84588719
Timmdc1	355.52	335.928	342.691	362.427	420.227	501.454	392.454	396.464	354.398	444.556	388.111	421.609	325.782	401.641	432.194	499.67
Clec4e	2185.6065	413.872	359.3465	441.65	544.27	127.0886	136.0548	133.18485	20709.95	22005.5	23417.75	22916.3	17806.53	15780.565	15906.51	17611.695
